FILE,LABEL,VALUE
calculation,to,loc_us-gaap_NetCashProvidedByUsedInFinancingActivities_a56f45b7-09b0-4605-8b74-c2e31593c4c2
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents_d9d3ed64-35d5-4852-93eb-72f28c48b627
calculation,href,https://xbrl.fasb.org/us-gaap/2021/elts/us-gaap-2021-01-31.xsd#us-gaap_EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
calculation,item_type,calculation_calculationArc
calculation,order,4
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect_4ccfb7e6-0af0-4841-929f-8f1d35344223
calculation,to,loc_us-gaap_EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents_d9d3ed64-35d5-4852-93eb-72f28c48b627
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_NetCashProvidedByUsedInInvestingActivities_a5d64d90-e92f-4afc-aa73-896cdedd417c
